#name	infoboxid	title	issn	abbreviation	language	country	former_name	bluebook	discipline	peer-reviewed	publisher	history	openaccess	license	impact	impact-year	CODEN	JSTOR	LCCN	OCLC	ISSNlabel	eISSN	category
Journal of Futures Studies	1	Journal of Futures Studies	NULL	JFS	NULL	Taiwan	NULL	NULL	futures studies	NULL	Tamkang University Press on behalf of Graduate Institute of Futures Studies, Tamkang University, Tamsui, Taipei	November 1996-present	NULL	NULL				NULL		190845334	NULL	NULL	NULL
Aboriginal History	1	Aboriginal History	NULL		NULL	Australia	NULL	NULL	Anthropology, history, indigenous studies	NULL	Aboriginal History, Australian National University	1977-present	Yes				NULL	NULL		NULL	NULL	1837-9389	NULL
Proceedings of the Institution of Mechanical Engineers, Part J: Journal of Engineering Tribology	1	Proceedings of the Institution of Mechanical Engineers, Part J: Journal of Engineering Tribology	NULL	Proc. Inst. Mech. Eng. J J. Eng. Tribol.	NULL	United Kingdom	NULL	NULL	Mechanical engineering		SAGE Publications	1994-present			0.660	2013	PEJTET		94658566	60648825	NULL	2041-305X	NULL
Toxicology and Industrial Health	1	Toxicology and Industrial Health	NULL	Toxicol. Ind. Health	NULL		NULL	NULL	Toxicology, occupational health	NULL	SAGE Publications	1985-present			1.688	2015	TIHEEC		87643067	614161667	NULL	1477-0393	NULL
Proceedings of the Institution of Mechanical Engineers, Part O: Journal of Risk and Reliability	1	Proceedings of the Institution of Mechanical Engineers, Part O: Journal of Risk and Reliability	NULL	Proc. Inst. Mech. Eng. O J. Risk Reliab.	NULL	United Kingdom	NULL	NULL	Mechanical engineering, statistical modelling	NULL	Sage Publications	2006-present			0.775	2013			2006251125	70962063	NULL	1748-0078	NULL
Journal of European Social Policy	1	Journal of European Social Policy	NULL	J. of Eur. Soc. Policy			NULL	NULL	Political Science		SAGE Publications	1991-present			1.673	2010			97660658	663026058	NULL	1461-7269	NULL
Applied Spectroscopy (journal)	1	Applied Spectroscopy	NULL	Appl. Spectrosc.	NULL		NULL	NULL	Spectroscopy		Society for Applied Spectroscopy	1946–present			2.014	2015	APSPA4		56056515	1577663	NULL	1943-3530	NULL
Osteoporosis International	1	Osteoporosis International	NULL	Osteoporis Int.	NULL		NULL	NULL	Osteoporosis	NULL	Springer Science+Business Media	1990-present	NULL	NULL	3.591	2016	OSINEP	NULL		45478450	NULL	1433-2965	NULL
Baha'i Studies Review	1	Baha'i Studies Review	NULL	Baha'i Stud. Rev.	NULL		NULL	NULL	Religious Studies	NULL	Intellect on behalf of the Association for Bahá'í Studies	1991-present							94641921	30061083	NULL	2040-1701	NULL
Party Politics	1	Party Politics	NULL				NULL	NULL	Political Science		SAGE Publications	1995–present			1.271	2015	PAPOFH	NULL	sn95026491	31946567	NULL	1460-3683	NULL
Field Methods	1	Field Methods	NULL	Field Methods	NULL	United Kingdom	NULL	NULL	Research Methods	NULL	SAGE Publications	1989–present			0.875	2013			sn99008858	41850329	NULL	1552-3969	NULL
Applied Psychological Measurement	1	Applied Psychological Measurement	NULL	Appl. Psychol. Meas.	NULL		NULL	NULL	Applied psychology	NULL	SAGE Publications	1977-present			1.493	2011			77648326	2998464	NULL	1552-3497	NULL
The Jurist: Studies in Church Law and Ministry	1	The Jurist: Studies in Church Law and Ministry	NULL		NULL	United States	NULL	NULL	Canon Law	NULL	Catholic University of America Press	1941-present									NULL		NULL
Paediatrics & Child Health	1	Paediatrics & Child Health	NULL	Paediatr. Child Health	English, French	Canada	NULL	NULL	Paediatrics	NULL	Oxford University Press on behalf of the Canadian Paediatric Society	1996-present		NULL	1.000	2010				36289733	NULL	1918-1485	NULL
Gifted Child Quarterly	1	Gifted Child Quarterly	NULL	Gift. Child Q.	NULL		NULL	NULL	Education	NULL	Sage Publications	1957-present			1.188	2014			76644577	3337727	NULL	1934-9041	NULL
American Journal of Ophthalmology	1	American Journal of Ophthalmology	NULL	Am. J. Ophthalmol.	NULL		NULL	NULL	Ophthalmology	NULL	Elsevier	1884–present			5.052	2016	AJOPAA		62002360	848508794	NULL		NULL
International Political Sociology	1	International Political Sociology	NULL		NULL		NULL	NULL	International relations	NULL	Oxford University Press for the International Studies Association	2007-present			1.284	2015		NULL	2007242154	85852647	NULL	1749-5687	NULL
Education and Urban Society	1	Education and Urban Society	NULL	Educ. Urban Soc.	NULL		NULL	NULL	Education	NULL	Sage Publications	1968-present			0.365	2013			75003541	1567533	NULL	1552-3535	NULL
Journal of Cosmology	1	Journal of Cosmology	NULL	J. Cosmol.	NULL	United States	NULL	NULL	Cosmology	NULL	Cosmology Science Publishers	2009–present							2010203854	651009010	NULL	2159-063X	NULL
Annales de la Société Entomologique de France	1	Annales de la Société Entomologique de France	NULL	NULL	French / English	France	NULL	NULL	Entomology	NULL	Société Entomologique de France	1832–present	NULL	NULL	0.600	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
St. Mary's Law Journal	1	St. Mary's Law Journal	NULL	St. Mary's Law J.	NULL	United States	NULL	St. Mary's L.J.	Law	NULL	St. Mary's University	1969-present	NULL	NULL	NULL	NULL	NULL	NULL	70012297	02643086	NULL	NULL	NULL
Proceedings of the Institution of Mechanical Engineers, Part F: Journal of Rail and Rapid Transit	1	Proceedings of the Institution of Mechanical Engineers, Part F: Journal of Rail and Rapid Transit	NULL	Proc. Inst. Mech. Eng. F J. Rail Rapid Transit	NULL		NULL	NULL	Transportation engineering		Sage Publications	1989-present			0.743	2013			89643806	19786779	NULL	2041-3017	NULL
Priamus (journal)	1	Priamus	NULL		Turkish, Uighur, English, German, and Chinese	Turkey	NULL	NULL	Entomology		Centre for Entomological Studies	1981–present								406250558	NULL		NULL
Health and Interprofessional Practice	1	NULL	NULL		NULL	United States	NULL	NULL	Public health	NULL	Pacific University	2011-present	Yes	CC-BY 3.0							NULL		NULL
The Mathematics Enthusiast	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Educational Administration Quarterly	1	Educational Administration Quarterly	NULL	Educ. Adm. Q.	NULL		NULL	NULL	Education	NULL	Sage Publications	1964–present			1.326	2014			sf85001024	1567565	NULL	1552-3519	NULL
American Journal of Play	1	American Journal of Play	NULL	Am. J. Play	NULL	United States	NULL	NULL	Play, education, play therapy, recreation, leisure	NULL	The Strong	2008-present	Yes	NULL	NULL	NULL	NULL	NULL	2008212529	226081597	NULL		NULL
International Journal of Applied Mathematics and Computer Science	1	International Journal of Applied Mathematics and Computer Science	NULL	Int. J. Appl. Math. Comput. Sci.	NULL	Poland	NULL	NULL			University of Zielona Góra and Lubuskie Scientific Society	1991-present	Yes		1.420	2016				54678624	NULL	2083-8492	NULL
Reflexe	1	Reflexe. Časopis pro filosofii a teologii	NULL		Czech	Czech Republic	NULL	NULL	Philosophy, theology	NULL	Oikoymenh	1985–present		NULL							NULL		NULL
Language Teaching Research	1	Language Teaching Research	NULL	Lang. Teach. Res.	NULL		NULL	NULL	Linguistics	NULL	SAGE Publications	1997-present			1.205	2010	LTREFI		97660653	300342940	NULL	1477-0954	NULL
Journal of Social Work	1	Journal of Social Work	NULL	J. Soc. Work	NULL		NULL	NULL	Social work	NULL	SAGE Publications	1997-present			1.000	2011			2002200175	48009105	NULL	1741-296X	NULL
Intervention In School And Clinic	1	Intervention In School And Clinic	NULL	Interv. Sch. Clin.	NULL	United States	NULL	NULL	Social Sciences	NULL	SAGE Publications	1965-present			0.306	2014			90642714	22424337	NULL	1538-4810	NULL
Journal of Building Physics	1	Journal of Building Physics	NULL	J. Build. Phys.	NULL		NULL	NULL	Engineering	NULL	Sage Publications	1977-present			1.027	2013	JBPOAL		2005240592	61523009	NULL	1744-2583	NULL
Culture and Psychology	1	Culture and Psychology	NULL	Cult. Psychol.	NULL		NULL	NULL	Cultural psychology		SAGE Publications	1995-present			0.946	2010	CUPSFQ			610269364	NULL	1461-7056	NULL
Language and Speech	1	Language and Speech	NULL	Lang. and Speech			NULL	NULL	Linguistics		SAGE Publications	1958-present			0.895	2010			59051327	610396653	NULL	1756-6053	NULL
The Diabetes Educator	1	The Diabetes Educator	NULL	Diabetes Educ.	NULL	United Kingdom	NULL	NULL	Health Sciences	NULL	SAGE Publications	1975-present			1.792	2014			77640396	2776215	NULL	1554-6063	NULL
Arkiv för nordisk filologi	1	Arkiv för nordisk filologi	NULL	NULL	Multilingual	Sweden	NULL	NULL	Old Norse literature, culture and philology	NULL	Lund University	1882–present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1514175	NULL	NULL	NULL
The Counseling Psychologist	1	The Counseling Psychologist	NULL	Couns. Psychol.	NULL	United Kingdom	NULL	NULL	Psychology	NULL	SAGE Publications	1969-present			1.167	2015			72006502	1565312	NULL	1552-3861	NULL
American Behavioral Scientist	1	American Behavioral Scientist	NULL	Am. Behav. Sci.	NULL		NULL	NULL	Psychology	NULL	SAGE Publications	1965-present			1.766	2014			63024254	1332710	NULL	1552-3381	NULL
Current Issues in Education	1	Current Issues in Education	NULL	Curr. Issues Educ.	NULL	United States	NULL	NULL	Education	NULL	Mary Lou Fulton Teachers College	1998-present	Yes	NULL	NULL	NULL	NULL	NULL	sn98004512	39224056	NULL	1099-839X	NULL
International Regional Science Review	1	International Regional Science Review	NULL	Int. Reg. Sci. Rev.	NULL		NULL	NULL	Regional science	NULL	Sage Publications	1975-present			1.000	2013			78643713	1701088	NULL	1552-6925	NULL
Matrix Biology (journal)	1	Matrix Biology	NULL	Matrix Biol.	NULL		NULL	NULL	Biology	NULL	Elsevier	1981–present		NULL	3.558	2009	MTBOEC		sn94043255	30091752	NULL	1569-1802	NULL
Dermatology (journal)	1	Dermatology	NULL	Dermatology (Basel)	NULL		NULL	NULL	NULL	NULL	Karger Publishers	1893-present	NULL	NULL	1.569	2014	DERAEG	NULL	NULL	25275441	NULL	1421-9832	NULL
Journal of Fire Protection Engineering	1	Journal of Fire Protection Engineering	NULL	J. of Fire Prot. Eng.			NULL	NULL	Engineering		SAGE Publications	1989-present			0.154	2010	JFPEEN		96657471	45216028	NULL	1532-172X	NULL
Progress in Human Geography	1	Progress in Human Geography	NULL	Prog. Hum. Geogr.			NULL	NULL	Human geography		SAGE Publications	1977-present			5.010	2014			77644605	224488118	NULL	1477-0288	NULL
Neurosurgery (journal)	1	Neurosurgery	NULL	Neurosurgery	NULL		NULL	NULL	Neurosurgery	NULL	Lippincott Williams & Wilkins	1977-present	NULL	NULL	NULL	NULL	NRSRDY	NULL	77643119	03301698	NULL	1524-4040	NULL
Language and Literature	1	Language and Literature	NULL	J. of Lang. and Lit.	NULL	United Kingdom	NULL	NULL	Humanities	NULL	SAGE Publications	1992-present			0.186	2016			97660613	260155706	NULL	1461-7293	NULL
PhysChemComm	1	PhysChemComm	NULL	PhysChemComm	NULL	United Kingdom	NULL	NULL	Chemistry	NULL	Royal Society of Chemistry	1998-2003	NULL	NULL	1.500	2005	PHCCFX	NULL	sn99047155	40310988	NULL	1460-2733	NULL
International Review of Administrative Sciences	1	International Review of Administrative Sciences	NULL	Int. Rev. of Adm. Sci.			NULL	NULL	Administration		SAGE Publications	1957-present			0.848	2010			61023383	44511174	NULL	1461-7226	NULL
Transactions of the Kansas Academy of Science	1	Transactions of the Kansas Academy of Science	NULL	Trans. Kans. Acad. Sci.	NULL	United States	NULL	NULL	Multidisciplinary	NULL	Kansas Academy of Science	1872-present					TSASAH	00228443	12033006	716094338	NULL	1938-5420	NULL
Asia Pacific Journal of Human Resources	1	Asia Pacific Journal of Human Resources	NULL	Asia Pac. J. Hum. Resour.	NULL		NULL	NULL	Management studies	NULL	Wiley-Blackwell on behalf of the Australian Human Resources Institute	1966-present			0.548	2012		NULL	sn92024094	52029127	NULL	1744-7941	NULL
Marketing Theory	1	Marketing Theory	NULL	Market. Theory	NULL		NULL	NULL	Marketing	NULL	Sage Publications	2001-present			2.267	2013			2002200525	48089850	NULL	1741-301X	NULL
Journal of Experimental Zoology	1	Journal of Experimental Zoology	NULL	J. Exp. Zool.	NULL		NULL	NULL	Zoology	NULL	Wiley-Blackwell	1904–present			1.226 (A)2.083 (B)	2015					J. Exp. Zool. A:	1932-5231	NULL
Psychiatric Services	1	Psychiatric Services	NULL	Psych Serv	NULL	United States	NULL	NULL	Psychiatry	NULL	American Psychiatric Association	1950-present			2.813	2009					NULL	1557-9700	NULL
Utilitas	1	Utilitas	NULL	Utilitas	NULL		NULL	NULL	Philosophy	NULL	Cambridge University Press	1989–present	NULL				NULL		92642297	60617996	NULL	1741-6183	NULL
Frontiers in Ecology and the Environment	1	NULL	NULL	Front. Ecol. Environ.	NULL	United States	NULL	NULL	Ecology, environmental science	NULL	Ecological Society of America	2003-present	Special Issues; Dispatches; Life Lines		8.504	2015			2003252462	50198052	NULL	1540-9309	NULL
Affilia	1	Affilia	NULL	Affilia	NULL		NULL	NULL	Social work	NULL	SAGE Publications	1986-present			0.707	2016			90656452	12871850	NULL	1552-3020	NULL
Journal of Cosmology and Astroparticle Physics	1	Journal of Cosmology and Astroparticle Physics	NULL	J. Cosmol. Astropart. Phys.	NULL	United Kingdom/Italy	NULL	NULL	Cosmology, Astroparticle physics	NULL	IOP Publishing/SISSA	2003–present	Hybrid		5.634	2015	JCAPBP			51830717	NULL		NULL
Childhood (journal)	1	Childhood	NULL	Childhood	NULL		NULL	NULL	Childhood studies	NULL	SAGE Publications on behalf of the Norwegian Centre for Child Research	1993-present			1.061	2010			94645087	41963991	NULL		NULL
Proceedings of the Institution of Mechanical Engineers, Part A: Journal of Power and Energy	1	Proceedings of the Institution of Mechanical Engineers, Part A: Journal of Power and Energy	NULL	Proc. Inst. Mech. Eng. A J. Power Energy	NULL		NULL	NULL	Mechanical engineering	NULL	Sage Publications on behalf of the Institution of Mechanical Engineers	1990-present			0.596	2013	PMAEET		93657487	21531945	NULL	2041-2967	NULL
CommLaw Conspectus	1	CommLaw Conspectus	NULL	CommLaw Conspectus	NULL	United States	NULL	NULL	Legal studies	NULL	Catholic University of America, Columbus School of Law	NULL							2009268119	55536096	NULL		NULL
Canadian Journal of Gastroenterology & Hepatology	1	Canadian Journal of Gastroenterology & Hepatology	NULL	Can. J. Gastroenterol. Hepatol.	English, French		NULL	NULL	Gastroenterology, Hepatology	NULL	Hindawi Publishing Corporation	1987-present		NULL	2.147	2016				878931900	NULL	2291-2797	NULL
Metabolism: Clinical and Experimental	1	Metabolism:  Clinical and Experimental	NULL		NULL		NULL	NULL	Health science, endocrinology, metabolism	NULL	Elsevier	1952–present	NULL	NULL	NULL	NULL	NULL	NULL			NULL		NULL
Ultrasonics (journal)	1	Ultrasonics	NULL	Ultrasonics	NULL		NULL	NULL	Ultrasound research, development, and technology	NULL	Elsevier	1963-present			2.028	2012	ULTRA3		sf80000765	1607881	NULL		NULL
War in History	1	War in History	NULL	War Hist.			NULL	NULL	Military Sciences		SAGE Publications	1994-present			0.237	2013			sn95030217	42423837	NULL	1477-0385	NULL
Theoretical Criminology	1	Theoretical Criminology	NULL	Theor. Criminol.			NULL	NULL	Criminology		SAGE Publications	1997-present			2.383	2013	TRCNFA		97643339	41385938	NULL	1461-7439	NULL
Advances in Chemical Physics	1	Advances in Chemical Physics	NULL	Adv. Chem. Phys.	NULL	United States	NULL	NULL	Chemical physics	NULL	John Wiley & Sons	1958–present			1.493	2015					NULL	1934-4791	NULL
Pacing and Clinical Electrophysiology	1	Pacing and Clinical Electrophysiology	NULL	Pacing Clin. Electrophysiol.	NULL		NULL	NULL	Cardiology	NULL	Wiley-Blackwell	1978-present			1.156	2015	PPCEDP			03578626	NULL	1540-8159	NULL
Finance & Development	1	Finance & Development	NULL	Finance Dev.				NULL			International Monetary Fund	1964-present					FNDVAM		75648861	884610050	NULL	0145-1707	NULL
Decision Sciences	1	Decision Sciences	NULL	Decis. Sci.	NULL		NULL	NULL	Decision theory, business, management	NULL	Wiley-Blackwell	1970-present			2.233	2010					NULL	1540-5915	NULL
Proceedings of the Institution of Mechanical Engineers, Part E: Journal of Process Mechanical Engineering	1	Proceedings of the Institution of Mechanical Engineers, Part E: Journal of Process Mechanical Engineering	NULL	Proc. Inst. Mech. Eng. E J. Process Mech. Eng.	NULL		NULL	NULL	Mechanical engineering		Sage Publications on behalf of the Institution of Mechanical Engineers	1989-present			0.547	2013	PMEEEF		89644281	19905122	NULL	2041-3009	NULL
Physiology (journal)	1	Physiology	NULL	Physiology (Bethesda)	NULL	United States	NULL	NULL	Physiology	NULL	American Physiological Society	1986–present			4.857	2014			2004212166	54517439	NULL	1548-9221	NULL
Hispanic Journal of Behavioral Sciences	1	Hispanic Journal Of Behavioral Sciences	NULL	Hisp. J. Behav. Sci.	NULL	United Kingdom	NULL	NULL	Psychology	NULL	SAGE Publications	1979-present			0.737	2015			2007209782	5062173	NULL	1552-6364	NULL
Biological Psychology (journal)	1	Biological Psychology	NULL	Biol. Psychol.	NULL		NULL	NULL	Biological psychology	NULL	Elsevier	1973-present	NULL	NULL	3.399	2012	BLPYAX	NULL	97661072	00932509	NULL	1873-6246	NULL
Developmental Science	1	Developmental Science	NULL	Dev. Sci.	NULL		NULL	NULL	Developmental psychology, cognitive neuroscience	NULL	Wiley-Blackwell	1998–present		NULL	3.808	2014		NULL	98642559	39883649	NULL	1467-7687	NULL
Kew Bulletin	1	Kew Bulletin	NULL	Kew Bull.	NULL	England	NULL	NULL	Plant and fungal taxonomy	NULL	Springer Science+Business Media on behalf of the Royal Botanic Gardens, Kew	1887–present	NULL	NULL			KEWBAF	00755974	52017093	314003070	NULL	1874-933X	NULL
Journal of Special Education	1	Journal Of Special Education	NULL	J. Spec. Educ.	NULL	United Kingdom	NULL	NULL	Social Sciences	NULL	SAGE Publications	1966-present			1.410	2014			66009979	1783202	NULL	1538-4764	NULL
Journal of Psychoeducational Assessment	1	Journal of Psychoeducational Assessment	NULL	J. Psychoeduc. Assess.	NULL		NULL	NULL	Educational psychology	NULL	SAGE Publications	1982-present			1.000	2015			83645344	8722578	NULL	1557-5144	NULL
Perceptual and Motor Skills	1	Perceptual and Motor Skills	NULL					NULL			Sage Publications				0.618	2015							NULL
Crystallography Reviews	1	Crystallography Reviews	NULL	Crystallogr. Rev.	NULL		NULL	NULL	Crystallography		Taylor & Francis	1987-present	NULL	NULL		2009	CRRVEN	NULL	87640399	50409833	NULL	1476-3508	NULL
Proceedings of the Institution of Mechanical Engineers, Part I: Journal of Systems and Control Engineering	1	Proceedings of the Institution of Mechanical Engineers, Part I: Journal of Systems and Control Engineering	NULL	Proc. Inst. Mech. Eng. I J. Syst. Control Eng.	NULL	United Kingdom	NULL	NULL	Systems engineering, control engineering		Sage Publications	1991-present			0.783	2013			91642790	23684443	NULL	2041-3041	NULL
Social & Legal Studies	1	Social & Legal Studies	NULL	Soc. Leg. Stud.			NULL	NULL	Sociology		SAGE Publications	1992-present			0.673	2010	SLSTEK		94644509	25566142	NULL	1461-7390	NULL
Bulletin of the History of Archaeology	1	Bulletin of the History of Archaeology	NULL	NULL	NULL	NULL	NULL	NULL	Archaeology	NULL	Ubiquity Press	1991–present	Yes	NULL	NULL	NULL	NULL	NULL	NULL	24683018	NULL	NULL	NULL
Journal of Family Nursing	1	Journal Of Family Nursing	NULL	J. Fam. Nurs.	NULL	United Kingdom	NULL	NULL	Health Sciences	NULL	SAGE Publications	1995-present			1.568	2014			95657565	29859620	NULL	1552-549X	NULL
Revista de la Asociación Geológica Argentina	1	Revista de la Asociación Geológica Argentina	NULL	Rev. Asoc. Geol. Argent.	English, Spanish	Argentina	NULL	NULL	Geology	NULL	Asociación Geológica Argentina		NULL	NULL	NULL	NULL	NULL	NULL	gs47000261	85449374	NULL	1851-8249	NULL
Journal of Information Science	1	Journal of Information Science	NULL	J. Inf. Sci.	NULL		NULL	NULL	Information science	NULL	SAGE Publications	1979-present			1.238	2012	JISCDI		79644637	5094715	NULL	1741-6485	NULL
American Journal of Evaluation	1	American Journal of Evaluation	NULL	Am. J. Eval.	NULL		NULL	NULL	Evaluation, research methods	NULL	Sage Publications	1981-present			1.804	2014			98660819	38534330	NULL	1557-0878	NULL
Norwegian Archaeological Review	1	Norwegian Archaeological Review	NULL		NULL		NULL	NULL	Archaeology	NULL	Routledge	1968-present									NULL	1502-7678	NULL
Physics of Plasmas	1	Physics of Plasmas	NULL	Phys. Plasmas	NULL	United States	NULL	NULL	Plasma physics	NULL	American Institute of Physics	1994–present		NULL	2.115	2016	PHPAEN				NULL	1089-7674	NULL
Tectonophysics (journal)	1	Tectonophysics	NULL	Tectonophysics	NULL		NULL	NULL	Geophysics, Earth-surface processes	NULL	Elsevier	1964 present	Hybrid		2.433	2011	TCTOAM		68004714	1767232	NULL		NULL
Journal of Contemporary Ethnography	1	Journal of Contemporary Ethnography	NULL	J. Contemp. Ethnogr.	NULL		NULL	NULL	Ethnography	NULL	Sage Publications	1972-present			0.755	2011			87640830	14687529	NULL	1552-5414	NULL
Journal of Research in Crime and Delinquency	1	Journal Of Research In Crime And Delinquency	NULL	J. Res. Crime Delinq.	NULL	United Kingdom	NULL	NULL	Criminology	NULL	SAGE Publications	1964-present			2.231	2011			64009395	1783073	NULL	1552-731X	NULL
Journal of Elasticity	1	Journal of Elasticity	NULL	J. Elasticity	NULL		NULL	NULL			Springer Science+Business Media	1971-present	NULL	NULL	1.909	2017		NULL	72624248	300184711	NULL	1573-2681	NULL
Journal of the Renin-Angiotensin-Aldosterone System	1	Journal of the Renin-Angiotensin-Aldosterone System	NULL	J. of  the Renin-Angiotensin-Aldosterone Syst.			NULL	NULL	Medical Sciences		SAGE Publications	2000-present	yes		2.271	2013	JRAAAG		2001243059	61677440	NULL	1752-8976	NULL
Musicae Scientiae (journal)	1	Musicae Scientiae	NULL	Music. Sci.	NULL		NULL	NULL	Music psychology	NULL	Sage Publications on behalf of the European Society for the Cognitive Sciences of Music	1992-present			1.537	2013			sn98052141	463081059	NULL	2045-4147	NULL
Economic & Industrial Democracy	1	Economic and Industrial Democracy	NULL	Econ. Ind. Democr.	NULL		NULL	NULL	Industrial and labor relations	NULL	Sage Publications	1980-present			0.642	2013			81643705	42896347	NULL	1461-7099	NULL
Journal of Pharmacy and Bioallied Sciences	1	Journal of Pharmacy and Bioallied Sciences	NULL	J. Pharm. Bioall. Sci.	NULL		NULL	NULL	Pharmacy	NULL	Medknow Publications	2009-present									NULL	0975-7406	NULL
Time & Society	1	Time & Society	NULL	Time Soc.	NULL		NULL	NULL	Sociology	NULL	Sage Publications	1992–present			1.256	2016 Source: 2016 Journal Citation Reports® (Clarivate Analytics, 2017)	TIMSEB		93643960	25927736	NULL	1461-7463	NULL
Physics and Chemistry of Liquids	1	Physics and Chemistry of Liquids	NULL	Phys. Chem. Liq.	NULL		NULL	NULL	Chemistry, physics	NULL	Taylor & Francis	1968-present	NULL	NULL	0.603	2011	PCLQAC	NULL		50516984	NULL	1029-0451	NULL
Educational Policy	1	Educational Policy	NULL	Educ. Policy	NULL		NULL	NULL	Education policy	NULL	Sage Publications	1987-present			0.409	2013			93664314	15342052	NULL	1552-3896	NULL
Journal of Fire Sciences	1	Journal of Fire Sciences	NULL	J. Fire Sci.	NULL		NULL	NULL	Engineering, materials science	NULL	Sage Publications	1983-present			1.258	2013	JFSCDV		83643900	8822978	NULL	1530-8049	NULL
Physics of Life Reviews	1	Physics of Life Reviews	NULL	Phys. Life Rev.	NULL		NULL	NULL	Biophysics	NULL	Elsevier	2004-present		NULL	9.478	2013			2004209533	56127751	NULL		NULL
Indiana Magazine of History	1	Indiana Magazine of History	NULL	Indiana Mag. Hist.	NULL	United States	NULL	NULL	American History	NULL	Indiana University	1905-present	NULL	NULL	NULL	NULL	NULL	00196673	06024674	02371402	NULL	NULL	NULL
Educational and Psychological Measurement	1	Educational and Psychological Measurement	NULL	Educ. Psychol. Meas.	NULL		NULL	NULL	Educational psychology	NULL	Sage Publications	1941-present			1.167	2013	EPMEAJ		43015039	1567567	NULL	1552-3888	NULL
Angiology (journal)	1	Angiology (journal)	NULL	Angiology	NULL	United Kingdom	NULL	NULL	Health Sciences	NULL	SAGE Publications	1964-present			2.931	2015	ANGIAB		64009372	1481144	NULL	1940-1574	NULL
Sociological Perspectives	1	Sociological Perspectives	NULL	Sociol. Perspect.	English	United States		NULL			Sage for the Pacific Sociological Association	1957–present			0.618	2013		07311214	83643392	8123782	NULL	1533-8673	NULL
Iranica Antiqua	1	Iranica Antiqua	NULL		NULL	Belgium	NULL	NULL	Archaeology,  Oriental Studies, Iranian Studies	NULL	Peeters Publishers, Leuven	1961-present					NULL	NULL	NULL	NULL	NULL	1783-1482	NULL
European Journal of Industrial Relations	1	European Journal of Industrial Relations	NULL	Eur. J. Ind. Rel.	NULL		NULL	NULL	Industrial relations	NULL	Sage Publications	1995-present			0.822	2013	EJIRFZ			34059411	NULL	1461-7129	NULL
Food Chemistry (journal)	1	Food Chemistry	NULL	Food Chem.	NULL		NULL	NULL	Food chemistry	NULL	Elsevier	1976-present			3.391	2014	FOCHD			2728297	NULL		NULL
Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine	1	Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine	NULL	Proc. Inst. Mech. Eng. H J. Eng. Med.	NULL	United Kingdom	NULL	NULL	Biomedical engineering	NULL	SAGE Publications	1971-present			1.144	2013	PIHMEQ		89649763	19502231	NULL	2041-3033	NULL
California Management Review	1	California Management Review	NULL	Cal. Manag. Rev.	NULL	United States	NULL	NULL	Management	NULL	University of California Press	1958-present			1.944	2013		00081256	61000204	5755713	NULL	2162-8564	NULL
Nezavisimiy Psikhiatricheskiy Zhurnal	1	Nezavisimiy Psikhiatricheskiy Zhurnal	NULL		Russian	Russian Federation	NULL	NULL	Psychiatry		Independent Psychiatric Association of Russia	1991–present								224673640	NULL		NULL
Experimental Hematology	1	Experimental Hematology	NULL	Exp. Hematol.	NULL		NULL	NULL	Hematology	NULL	Elsevier	1972–present			2.907	2012	EXHMA6			43350423	NULL		NULL
Journal of Morphology	1	Journal of Morphology	NULL	J. Morphol.	NULL		NULL	NULL	Anatomy, morphology	NULL	John Wiley & Sons	1887–present			1.735	2014					NULL	1097-4687	NULL
Iran: Journal of the British Institute of Persian Studies	1	Iran	NULL	Iran (Lond.)	NULL	United Kingdom	NULL	NULL	Iranian studies	NULL	British Institute of Persian Studies	1963-present						05786967	64009404	819189725	NULL		NULL
The Canadian Journal of Economics and Political Science	1	NULL	NULL		English, French	Canada	NULL	NULL	Economics, political science	NULL	Blackwell Publishing	1935-1967	NULL	NULL	NULL	NULL	NULL	03154890	NULL	NULL	NULL	NULL	NULL
Australian Academy of Forensic Sciences	1	Australian Journal of Forensic Sciences	NULL		NULL	Australia	NULL	NULL	forensic sciences	NULL	Taylor & Francis	September 1968									NULL	1834-562X	NULL
Theology (journal)	1	Theology	NULL		NULL		NULL	NULL	Theology	NULL	The Society for the Promotion of Christian Knowledge in association with SAGE Publications	1920-present	NULL	NULL						1767420	NULL	2044-2696	NULL
Infection, Genetics and Evolution	1	Infection, Genetics and Evolution	NULL	Infect. Genet. Evol.	NULL		NULL	NULL	Microbiology	NULL	Elsevier	2001–present			2.5	2015			2001243317	48132747	NULL	1567-7257	NULL
Theoretical Inquiries in Law	1	Theoretical Inquiries in Law	NULL		NULL	Israel	NULL	NULL	Legal theory, Jurisprudence	NULL	Tel Aviv University	2000-present		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Scientific Reports	1	Scientific Reports	NULL	Sci. Rep.	NULL		NULL	NULL	Natural sciences	NULL	Nature Publishing Group	2011-present	Yes	Creative Commons Attribution	4.259	2016	NULL	NULL	NULL	NULL	NULL	2045-2322	NULL
